start_ms	end_ms	sentence	source_clip
0	10435	HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE	LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac
10435	13710	STUFF IT INTO YOU HIS BELLY COUNSELLED HIM	LibriSpeech/test-clean/1089/134686/1089-134686-0001.flac
13710	20335	AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS	LibriSpeech/test-clean/1089/134686/1089-134686-0002.flac
20335	23015	HELLO BERTIE ANY GOOD IN YOUR MIND	LibriSpeech/test-clean/1089/134686/1089-134686-0003.flac
23015	28230	NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND	LibriSpeech/test-clean/1089/134686/1089-134686-0004.flac
28230	37865	THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS	LibriSpeech/test-clean/1089/134686/1089-134686-0005.flac
37865	48420	THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL	LibriSpeech/test-clean/1089/134686/1089-134686-0006.flac
48420	52695	A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL	LibriSpeech/test-clean/1089/134686/1089-134686-0007.flac
52695	59425	THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF	LibriSpeech/test-clean/1089/134686/1089-134686-0008.flac
59425	70000	AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE	LibriSpeech/test-clean/1089/134686/1089-134686-0009.flac
70000	74405	WELL NOW ENNIS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK	LibriSpeech/test-clean/1089/134686/1089-134686-0010.flac
