start_ms	end_ms	sentence	source_clip
0	4500	In this phase, the party was based in Eastern Norway.	common_voice_en_43199993.mp3
4500	12600	There is also an interchange with the Thousand Islands Parkway on the Ontario side.	common_voice_en_42736613.mp3
12600	18900	Five days later, Royal Marines boarded the platform and ended the broadcasting.	common_voice_en_42798328.mp3
18900	27216	Only a small Greek state became independent in the Balkans, with limited Russian influence.	common_voice_en_43204215.mp3
27216	32364	Knob Noster State Park is nearby.	common_voice_en_42706055.mp3
32364	39384	Thus, she brought the water to Jamdagni for his rituals of oblation.	common_voice_en_43139615.mp3
39384	44604	Winkler named the element after his country, Germany.	common_voice_en_43196525.mp3
44604	53280	Okara is sometimes spread on fields as a natural nitrogen fertilizer.	common_voice_en_42752135.mp3
53280	56520	He became proficient in German.	common_voice_en_42799557.mp3
56520	60948	Doctor T. S. Lin was then appointed as president of the school.	common_voice_en_43193287.mp3
60948	73044	His siblings included Lewis Rudolph, who would later help found Krispy Kreme.	common_voice_en_42727108.mp3
73044	78552	The Red Hill Junior Senior High School is located in Bridgeport.	common_voice_en_42791629.mp3
78552	86508	Just over two years earlier Wilson had challenged Gaitskell for the party leadership.	common_voice_en_43200118.mp3
86508	91404	There have been a number of improvements to the campus in recent years.	common_voice_en_42817051.mp3
91404	96948	The village is about seven miles north of Barnstaple.	common_voice_en_42805882.mp3
96948	106200	Many methods have been developed to initiate sluggish Grignard reactions.	common_voice_en_43193311.mp3
106200	111708	Its western and southwestern parts have many volcanic rocks.	common_voice_en_42751082.mp3
111708	119052	Mudrocks, by definition, consist of at least fifty percent mud-sized particles.	common_voice_en_42712838.mp3
119052	126792	Camping and fires within the park are not permitted.	common_voice_en_43197727.mp3
126792	130896	The series was renewed for a second season but fared much worse.	common_voice_en_43198570.mp3
130896	136656	The league also runs cup competitions.	common_voice_en_42806811.mp3
136656	144504	This harmless snake nimbly squirms among the leaves.	common_voice_en_42730925.mp3
144504	148752	Another is rabbit in gueuze.	common_voice_en_42753835.mp3
148752	153720	Together they have six children and two grandchildren.	common_voice_en_43211755.mp3
153720	158544	So 'Cane just said I was awol.	common_voice_en_42816897.mp3
158544	165528	He appears to have played there many consecutive years between January and March.	common_voice_en_42830129.mp3
165528	170748	It draws attention to them and may influence the results of the poll.	common_voice_en_42808952.mp3
170748	176904	The suffix is used in some medical terms denoting mental disorders.	common_voice_en_43168920.mp3
176904	181980	Both tours were canceled due to the Coronavirus pandemic.	common_voice_en_42809713.mp3
181980	188748	For example, a full backup could be performed weekly, and partial backups taken nightly.	common_voice_en_42711900.mp3
188748	194328	Her son, Marcello, is a sort of reluctant altar boy.	common_voice_en_42816075.mp3
194328	200664	They are often black, bay or brown in color.	common_voice_en_42810263.mp3
200664	209232	His experiences as a schoolboy there were instrumental in his later work.	common_voice_en_42814135.mp3
209232	213372	He was a noted philanthropist.	common_voice_en_42787815.mp3
213372	221688	The wide interior spaces created by the blending pose novel structural challenges.	common_voice_en_42726291.mp3
221688	230112	Irene Dunne requested him for her leading man in "Magnificent Obsession".	common_voice_en_43193788.mp3
230112	235548	The village has a rugby league club that also plays at The Recreation Ground.	common_voice_en_43202293.mp3
235548	243108	Five of the units are two bedroom, one bath.	common_voice_en_43204237.mp3
