error_type	ref_index	hyp_index	correct_token	aws_token	aws_raw	confidence	alternatives
substitution	12	12	is	s	There's#2	0.94	There's (0.94)
substitution	18	18	thousand	1000	1000	0.97	1000 (0.97)
substitution	25	25	five	5	5	0.99	5 (0.99)
substitution	51	51	knob	noob	Noob	0.89	Noob (0.89)
substitution	63	63	jamdagni	jabdagni	Jabdagni	0.89	Jabdagni (0.89)
deletion	94		t				
substitution	95	94	s	ts	TS	0.99	TS (0.99)
substitution	96	95	lin	lynn	Lynn	0.72	Lynn (0.72)
substitution	108	107	lewis	louis	Louis	0.98	Louis (0.98)
deletion	118		red				
substitution	119	117	hill	redhill	Redhill	0.94	Redhill (0.94)
substitution	130	128	two	2	2	0.99	2 (0.99)
substitution	136	134	gaitskell	gaitskill	Gaitskill	0.98	Gaitskill (0.98)
substitution	158	156	seven	7	7	1.00	7 (1.00)
substitution	171	169	grignard	greenyard	greenyard	0.99	greenyard (0.99)
insertion		180		mud	Mud	1.00	Mud (1.00)
substitution	182	181	mudrocks	rocks	rocks	1.00	rocks (1.00)
deletion	189		fifty				
substitution	190	188	percent	50	50%	1.00	50% (1.00)
substitution	209	207	second	2nd	2nd	0.84	2nd (0.84)
substitution	233	231	gueuze	gus	Gus	0.33	Gus (0.33)
substitution	237	235	six	6	6	1.00	6 (1.00)
substitution	240	238	two	2	2	1.00	2 (1.00)
substitution	243	241	cane	ken	Ken	0.86	Ken (0.86)
substitution	248	246	awol	all	all	0.67	all (0.67)
substitution	323	321	bay	bale	bale	0.99	bale (0.99)
substitution	346	344	wide	white	white	1.00	white (1.00)
substitution	358	356	dunne	dunn	Dunn	0.99	Dunn (0.99)
substitution	382	380	five	5	5	0.99	5 (0.99)
substitution	387	385	two	2	2	0.99	2 (0.99)
substitution	389	387	one	1	1	0.99	1 (0.99)
substitution	403	401	fourth	4th	4th	1.00	4th (1.00)
substitution	428	426	five	5	5	0.99	5 (0.99)
substitution	433	431	five	5	5	0.99	5 (0.99)
substitution	440	438	seven	7	7	1.00	7 (1.00)
substitution	453	451	galien	gillen	Gillen	0.98	Gillen (0.98)
substitution	468	466	lily	lilly	Lilly	0.74	Lilly (0.74)
substitution	496	494	this	the	The	1.00	The (1.00)
deletion	505		teaze				
deletion	506		aina				
substitution	507	503	hii	tears	tears	0.52	tears (0.52)
substitution	508	504	huvumilia	hanaki	Hanaki	0.47	Hanaki (0.47)
substitution	509	505	hali	of	of	0.80	of (0.80)
substitution	510	506	ya	boilia	Boilia	0.08	Boilia (0.08)
substitution	511	507	jua	kalia	Kalia	0.45	Kalia (0.45)
substitution	512	508	kali	junaal	Junaal	0.38	Junaal (0.38)
insertion		532		oen	Oen	0.82	Oen (0.82)
substitution	536	533	owen	hubert	Hubert's	0.10	Hubert's (0.10)
substitution	537	534	roberts	s	Hubert's#2	0.10	Hubert's (0.10)
substitution	540	537	serves	service	service	1.00	service (1.00)
substitution	541	538	grand	grange	Grange	0.77	Grange (0.77)
substitution	581	578	hid	he	he	0.98	he (0.98)
substitution	583	580	those	rose	Rose	0.97	Rose (0.97)
substitution	584	581	unwary	anwari	Anwari	0.21	Anwari (0.21)
substitution	614	611	five	5	5	1.00	5 (1.00)
substitution	617	614	four	4	4	1.00	4 (1.00)
substitution	628	625	hitachi	hitai	Hitai	0.13	Hitai (0.13)
insertion		656		that	that	0.95	that (0.95)
substitution	659	657	they	i	I've	0.74	I've (0.74)
substitution	662	660	mr	mister	Mister	0.99	Mister (0.99)
substitution	663	661	allan	allen	Allen	0.91	Allen (0.91)
substitution	688	686	the	a	a	1.00	a (1.00)
substitution	739	737	shaping	shipping	shipping	0.99	shipping (0.99)
substitution	742	740	machado	mikadoreans	Mikadoreans	0.00	Mikadoreans (0.00)
substitution	743	741	creations	ports	ports	0.97	ports (0.97)
substitution	744	742	boards	now	Now	0.99	Now (0.99)
substitution	745	743	not	a	a	0.61	a (0.61)
insertion		785		blue	blue	1.00	blue (1.00)
substitution	787	786	bluescreen	screen	screen	1.00	screen (1.00)
insertion		826		1	1	0.61	1 (0.61)
substitution	827	827	wonsan	sun	sun	0.47	sun (0.47)
substitution	828	828	two	to	to	1.00	to (1.00)
substitution	830	830	two	2	2	0.99	2 (0.99)
substitution	868	868	two	2	2	0.99	2 (0.99)
substitution	874	874	laurence	lawrence	Lawrence	0.93	Lawrence (0.93)
insertion		882		bottle	Bottle	0.99	Bottle (0.99)
substitution	882	883	bootleggers	lager	Lager	0.20	Lager (0.20)
substitution	917	918	a	the	The	0.88	The (0.88)
substitution	950	951	boocock	bucock	Bucock	0.87	Bucock (0.87)
substitution	958	959	theatre	theater	theater	0.99	theater (0.99)
