index_in_ref	correct_token	aws_token	aws_raw	confidence	alternatives
12	is	s	There's#2	0.94	There's (0.94)
18	thousand	1000	1000	0.97	1000 (0.97)
25	five	5	5	0.99	5 (0.99)
51	knob	noob	Noob	0.89	Noob (0.89)
63	jamdagni	jabdagni	Jabdagni	0.89	Jabdagni (0.89)
95	s	ts	TS	0.99	TS (0.99)
96	lin	lynn	Lynn	0.72	Lynn (0.72)
108	lewis	louis	Louis	0.98	Louis (0.98)
119	hill	redhill	Redhill	0.94	Redhill (0.94)
130	two	2	2	0.99	2 (0.99)
136	gaitskell	gaitskill	Gaitskill	0.98	Gaitskill (0.98)
158	seven	7	7	1.00	7 (1.00)
171	grignard	greenyard	greenyard	0.99	greenyard (0.99)
182	mudrocks	rocks	rocks	1.00	rocks (1.00)
190	percent	50	50%	1.00	50% (1.00)
209	second	2nd	2nd	0.84	2nd (0.84)
233	gueuze	gus	Gus	0.33	Gus (0.33)
237	six	6	6	1.00	6 (1.00)
240	two	2	2	1.00	2 (1.00)
243	cane	ken	Ken	0.86	Ken (0.86)
248	awol	all	all	0.67	all (0.67)
323	bay	bale	bale	0.99	bale (0.99)
346	wide	white	white	1.00	white (1.00)
358	dunne	dunn	Dunn	0.99	Dunn (0.99)
382	five	5	5	0.99	5 (0.99)
387	two	2	2	0.99	2 (0.99)
389	one	1	1	0.99	1 (0.99)
403	fourth	4th	4th	1.00	4th (1.00)
428	five	5	5	0.99	5 (0.99)
433	five	5	5	0.99	5 (0.99)
440	seven	7	7	1.00	7 (1.00)
453	galien	gillen	Gillen	0.98	Gillen (0.98)
468	lily	lilly	Lilly	0.74	Lilly (0.74)
496	this	the	The	1.00	The (1.00)
507	hii	tears	tears	0.52	tears (0.52)
508	huvumilia	hanaki	Hanaki	0.47	Hanaki (0.47)
509	hali	of	of	0.80	of (0.80)
510	ya	boilia	Boilia	0.08	Boilia (0.08)
511	jua	kalia	Kalia	0.45	Kalia (0.45)
512	kali	junaal	Junaal	0.38	Junaal (0.38)
536	owen	hubert	Hubert's	0.10	Hubert's (0.10)
537	roberts	s	Hubert's#2	0.10	Hubert's (0.10)
540	serves	service	service	1.00	service (1.00)
541	grand	grange	Grange	0.77	Grange (0.77)
581	hid	he	he	0.98	he (0.98)
583	those	rose	Rose	0.97	Rose (0.97)
584	unwary	anwari	Anwari	0.21	Anwari (0.21)
614	five	5	5	1.00	5 (1.00)
617	four	4	4	1.00	4 (1.00)
628	hitachi	hitai	Hitai	0.13	Hitai (0.13)
659	they	i	I've	0.74	I've (0.74)
662	mr	mister	Mister	0.99	Mister (0.99)
663	allan	allen	Allen	0.91	Allen (0.91)
688	the	a	a	1.00	a (1.00)
739	shaping	shipping	shipping	0.99	shipping (0.99)
742	machado	mikadoreans	Mikadoreans	0.00	Mikadoreans (0.00)
743	creations	ports	ports	0.97	ports (0.97)
744	boards	now	Now	0.99	Now (0.99)
745	not	a	a	0.61	a (0.61)
787	bluescreen	screen	screen	1.00	screen (1.00)
827	wonsan	sun	sun	0.47	sun (0.47)
828	two	to	to	1.00	to (1.00)
830	two	2	2	0.99	2 (0.99)
868	two	2	2	0.99	2 (0.99)
874	laurence	lawrence	Lawrence	0.93	Lawrence (0.93)
882	bootleggers	lager	Lager	0.20	Lager (0.20)
917	a	the	The	0.88	The (0.88)
950	boocock	bucock	Bucock	0.87	Bucock (0.87)
958	theatre	theater	theater	0.99	theater (0.99)
